"Период","Google Ads","Яндекс: Директ","Яндекс.Директ: Не определено","Другая реклама: определено по меткам","nothing"
"2020-01-01","83","0","0","0",""
"2020-01-02","104","0","0","0",""
"2020-01-03","98","0","0","0",""
"2020-01-04","68","0","0","0",""
"2020-01-05","67","0","0","0",""
"2020-01-06","90","0","0","0",""
"2020-01-07","128","0","0","0",""
"2020-01-08","114","0","0","0",""
"2020-01-09","119","0","0","0",""
"2020-01-10","88","0","0","0",""
"2020-01-11","73","0","0","0",""
"2020-01-12","83","0","0","0",""
"2020-01-13","84","0","0","0",""
"2020-01-14","124","0","0","0",""
"2020-01-15","111","0","0","0",""
"2020-01-16","97","0","0","0",""
"2020-01-17","85","0","0","0",""
"2020-01-18","62","0","0","0",""
"2020-01-19","64","0","0","0",""
"2020-01-20","97","0","0","0",""
"2020-01-21","95","0","0","0",""
"2020-01-22","132","0","0","0",""
"2020-01-23","100","0","0","0",""
"2020-01-24","107","0","0","0",""
"2020-01-25","47","0","0","0",""
"2020-01-26","73","0","0","0",""
"2020-01-27","99","0","0","0",""
"2020-01-28","97","0","0","0",""
"2020-01-29","109","0","0","0",""
"2020-01-30","112","0","0","0",""
"2020-01-31","105","0","0","0",""
"2020-02-01","61","0","0","0",""
"2020-02-02","68","0","0","0",""
"2020-02-03","76","0","0","0",""
"2020-02-04","92","0","0","0",""
"2020-02-05","96","0","0","0",""
"2020-02-06","133","0","0","0",""
"2020-02-07","93","0","0","0",""
"2020-02-08","65","0","0","0",""
"2020-02-09","73","0","0","0",""
"2020-02-10","102","0","0","0",""
"2020-02-11","99","0","0","0",""
"2020-02-12","91","0","0","0",""
"2020-02-13","106","0","0","0",""
"2020-02-14","84","0","0","0",""
"2020-02-15","67","0","0","0",""
"2020-02-16","60","0","0","0",""
"2020-02-17","110","0","0","0",""
"2020-02-18","96","0","0","0",""
"2020-02-19","99","0","0","0",""
"2020-02-20","104","0","0","0",""
"2020-02-21","78","0","0","0",""
"2020-02-22","55","0","0","0",""
"2020-02-23","76","0","0","0",""
"2020-02-24","86","0","0","0",""
"2020-02-25","105","0","0","0",""
"2020-02-26","92","0","0","0",""
"2020-02-27","117","0","0","0",""
"2020-02-28","77","0","0","0",""
"2020-02-29","43","0","0","0",""
"2020-03-01","71","0","0","0",""
"2020-03-02","96","0","0","0",""
"2020-03-03","86","0","0","0",""
"2020-03-04","76","0","0","0",""
"2020-03-05","101","0","0","0",""
"2020-03-06","51","0","0","0",""
"2020-03-07","5","0","0","0",""
"2020-03-08","3","0","0","0",""
"2020-03-09","40","0","0","0",""
"2020-03-10","97","0","0","0",""
"2020-03-11","121","0","0","0",""
"2020-03-12","69","0","0","0",""
"2020-03-13","68","0","0","0",""
"2020-03-14","65","0","0","0",""
"2020-03-15","72","0","0","0",""
"2020-03-16","107","0","0","0",""
"2020-03-17","98","0","0","0",""
"2020-03-18","65","0","0","0",""
"2020-03-19","67","0","0","0",""
"2020-03-20","94","0","0","0",""
"2020-03-21","54","0","0","0",""
"2020-03-22","54","0","0","0",""
"2020-03-23","88","0","0","0",""
"2020-03-24","82","0","0","0",""
"2020-03-25","91","0","0","0",""
"2020-03-26","82","0","0","0",""
"2020-03-27","45","0","0","0",""
"2020-03-28","47","0","0","0",""
"2020-03-29","58","0","0","0",""
"2020-03-30","91","0","0","0",""
"2020-03-31","64","0","0","0",""
"2020-04-01","85","0","0","0",""
"2020-04-02","77","0","0","0",""
"2020-04-03","67","0","0","0",""
"2020-04-04","45","0","0","0",""
"2020-04-05","48","0","0","0",""
"2020-04-06","69","0","0","0",""
"2020-04-07","99","0","0","0",""
"2020-04-08","92","0","0","0",""
"2020-04-09","74","0","0","0",""
"2020-04-10","85","0","0","0",""
"2020-04-11","40","0","0","0",""
"2020-04-12","66","0","0","0",""
"2020-04-13","84","0","0","0",""
"2020-04-14","84","0","0","0",""
"2020-04-15","88","0","0","0",""
"2020-04-16","100","0","0","0",""
"2020-04-17","84","0","0","0",""
"2020-04-18","62","0","0","0",""
"2020-04-19","54","0","0","0",""
"2020-04-20","78","0","0","0",""
"2020-04-21","75","0","0","0",""
"2020-04-22","62","0","0","0",""
"2020-04-23","76","0","0","0",""
"2020-04-24","74","0","0","0",""
"2020-04-25","70","0","0","0",""
"2020-04-26","53","0","0","0",""
"2020-04-27","52","0","0","0",""
"2020-04-28","105","0","0","0",""
"2020-04-29","74","0","0","0",""
"2020-04-30","54","0","0","0",""
"2020-05-01","56","0","0","0",""
"2020-05-02","62","0","0","0",""
"2020-05-03","67","0","0","0",""
"2020-05-04","94","0","0","0",""
"2020-05-05","105","0","0","0",""
"2020-05-06","101","0","0","0",""
"2020-05-07","84","0","0","0",""
"2020-05-08","67","0","0","0",""
"2020-05-09","28","0","0","0",""
"2020-05-10","42","0","0","0",""
"2020-05-11","68","0","0","0",""
"2020-05-12","84","0","0","0",""
"2020-05-13","90","0","0","0",""
"2020-05-14","87","0","0","0",""
"2020-05-15","76","0","0","0",""
"2020-05-16","54","0","0","0",""
"2020-05-17","59","0","0","0",""
"2020-05-18","87","0","0","0",""
"2020-05-19","76","0","0","0",""
"2020-05-20","93","0","0","0",""
"2020-05-21","109","0","0","0",""
"2020-05-22","74","0","0","0",""
"2020-05-23","47","0","0","0",""
"2020-05-24","58","0","0","0",""
"2020-05-25","90","0","0","0",""
"2020-05-26","80","0","0","0",""
"2020-05-27","81","0","0","0",""
"2020-05-28","74","0","0","0",""
"2020-05-29","83","0","0","0",""
"2020-05-30","63","0","0","0",""
"2020-05-31","40","0","0","0",""
"2020-06-01","81","0","0","0",""
"2020-06-02","120","0","0","0",""
"2020-06-03","84","0","0","0",""
"2020-06-04","91","0","0","0",""
"2020-06-05","57","0","0","0",""
"2020-06-06","57","0","0","0",""
"2020-06-07","51","0","0","0",""
"2020-06-08","78","0","0","0",""
"2020-06-09","71","0","0","0",""
"2020-06-10","77","0","0","0",""
"2020-06-11","89","0","0","0",""
"2020-06-12","73","0","0","0",""
"2020-06-13","43","0","0","0",""
"2020-06-14","49","0","0","0",""
"2020-06-15","70","0","0","0",""
"2020-06-16","90","0","0","0",""
"2020-06-17","75","0","0","0",""
"2020-06-18","84","0","0","0",""
"2020-06-19","72","0","0","0",""
"2020-06-20","33","0","0","0",""
"2020-06-21","55","0","0","0",""
"2020-06-22","90","0","0","0",""
"2020-06-23","89","0","0","0",""
"2020-06-24","85","0","0","0",""
"2020-06-25","53","0","0","0",""
"2020-06-26","76","0","0","0",""
"2020-06-27","34","0","0","0",""
"2020-06-28","53","0","0","0",""
"2020-06-29","54","0","0","0",""
"2020-06-30","87","0","0","0",""
"2020-07-01","52","0","0","0",""
"2020-07-02","76","0","0","0",""
"2020-07-03","62","0","0","0",""
"2020-07-04","43","0","0","0",""
"2020-07-05","52","0","0","0",""
"2020-07-06","76","0","0","0",""
"2020-07-07","100","0","0","0",""
"2020-07-08","81","0","0","0",""
"2020-07-09","68","0","0","0",""
"2020-07-10","85","0","0","0",""
"2020-07-11","43","0","0","0",""
"2020-07-12","64","0","0","0",""
"2020-07-13","61","0","0","0",""
"2020-07-14","79","0","0","0",""
"2020-07-15","69","0","0","0",""
"2020-07-16","81","0","0","0",""
"2020-07-17","92","0","0","0",""
"2020-07-18","48","0","0","0",""
"2020-07-19","45","0","0","0",""
"2020-07-20","77","0","0","0",""
"2020-07-21","67","0","0","0",""
"2020-07-22","102","0","0","0",""
"2020-07-23","84","0","0","0",""
"2020-07-24","90","0","0","0",""
"2020-07-25","38","0","0","0",""
"2020-07-26","59","0","0","0",""
"2020-07-27","79","0","0","0",""
"2020-07-28","87","0","0","0",""
"2020-07-29","79","0","0","0",""
"2020-07-30","85","0","0","0",""
"2020-07-31","60","0","0","0",""
"2020-08-01","37","0","0","0",""
"2020-08-02","49","0","0","0",""
"2020-08-03","71","0","0","0",""
"2020-08-04","78","0","0","0",""
"2020-08-05","68","0","0","0",""
"2020-08-06","68","0","0","0",""
"2020-08-07","80","0","0","0",""
"2020-08-08","48","0","0","0",""
"2020-08-09","27","0","0","0",""
"2020-08-10","3","0","0","0",""
"2020-08-11","0","0","0","0",""
"2020-08-12","17","0","0","0",""
"2020-08-13","37","0","0","0",""
"2020-08-14","45","0","0","0",""
"2020-08-15","11","0","0","0",""
"2020-08-16","0","0","0","0",""
"2020-08-17","1","0","0","0",""
"2020-08-18","1","0","0","0",""
"2020-08-19","69","0","0","0",""
"2020-08-20","77","0","0","0",""
"2020-08-21","58","0","0","0",""
"2020-08-22","40","0","0","0",""
"2020-08-23","59","0","0","0",""
"2020-08-24","67","0","0","0",""
"2020-08-25","104","0","0","0",""
"2020-08-26","100","0","0","0",""
"2020-08-27","82","0","0","0",""
"2020-08-28","85","0","0","0",""
"2020-08-29","62","0","0","0",""
"2020-08-30","51","0","0","0",""
"2020-08-31","90","0","0","0",""
"2020-09-01","73","0","0","0",""
"2020-09-02","63","0","0","0",""
"2020-09-03","89","0","0","0",""
"2020-09-04","73","0","0","0",""
"2020-09-05","43","0","0","0",""
"2020-09-06","54","0","0","0",""
"2020-09-07","70","0","0","0",""
"2020-09-08","86","0","0","0",""
"2020-09-09","87","0","0","0",""
"2020-09-10","63","0","0","0",""
"2020-09-11","67","0","0","0",""
"2020-09-12","35","0","0","0",""
"2020-09-13","46","0","0","0",""
"2020-09-14","78","0","0","0",""
"2020-09-15","101","0","0","0",""
"2020-09-16","69","0","0","0",""
"2020-09-17","91","0","0","0",""
"2020-09-18","66","0","0","0",""
"2020-09-19","8","0","0","0",""
"2020-09-20","3","0","0","0",""
"2020-09-21","0","0","0","0",""
"2020-09-22","66","0","0","0",""
"2020-09-23","97","0","0","0",""
"2020-09-24","109","0","0","0",""
"2020-09-25","76","0","0","0",""
"2020-09-26","48","0","0","0",""
"2020-09-27","74","0","0","0",""
"2020-09-28","72","0","0","0",""
"2020-09-29","90","0","0","0",""
"2020-09-30","72","0","0","0",""
"2020-10-01","81","0","0","0",""
"2020-10-02","68","0","0","0",""
"2020-10-03","59","0","0","0",""
"2020-10-04","53","0","0","0",""
"2020-10-05","71","0","0","0",""
"2020-10-06","90","0","0","0",""
"2020-10-07","79","0","0","0",""
"2020-10-08","105","0","0","0",""
"2020-10-09","72","0","0","0",""
"2020-10-10","50","0","0","0",""
"2020-10-11","40","0","0","0",""
"2020-10-12","67","0","0","0",""
"2020-10-13","84","0","0","0",""
"2020-10-14","99","0","0","0",""
"2020-10-15","80","0","0","0",""
"2020-10-16","77","0","0","0",""
"2020-10-17","50","0","0","0",""
"2020-10-18","51","0","0","0",""
"2020-10-19","96","0","0","0",""
"2020-10-20","76","0","0","0",""
"2020-10-21","58","0","0","0",""
"2020-10-22","102","0","0","0",""
"2020-10-23","80","0","0","0",""
"2020-10-24","45","0","0","0",""
"2020-10-25","45","0","0","0",""
"2020-10-26","47","0","0","0",""
"2020-10-27","86","0","0","0",""
"2020-10-28","111","0","0","0",""
"2020-10-29","101","0","0","0",""
"2020-10-30","68","0","0","0",""
"2020-10-31","46","0","0","0",""
"2020-11-01","47","0","0","0",""
"2020-11-02","82","0","0","0",""
"2020-11-03","110","0","0","0",""
"2020-11-04","84","0","0","0",""
"2020-11-05","77","0","0","0",""
"2020-11-06","65","0","0","0",""
"2020-11-07","70","0","0","0",""
"2020-11-08","48","0","0","0",""
"2020-11-09","75","0","0","0",""
"2020-11-10","98","0","0","0",""
"2020-11-11","89","0","0","0",""
"2020-11-12","67","0","0","0",""
"2020-11-13","85","0","0","0",""
"2020-11-14","55","0","0","0",""
"2020-11-15","31","0","0","0",""
"2020-11-16","72","0","0","0",""
"2020-11-17","101","0","0","0",""
"2020-11-18","78","0","0","0",""
"2020-11-19","87","0","0","0",""
"2020-11-20","86","0","0","0",""
"2020-11-21","41","0","0","0",""
"2020-11-22","51","0","0","0",""
"2020-11-23","55","0","0","0",""
"2020-11-24","107","0","0","0",""
"2020-11-25","83","0","0","0",""
"2020-11-26","69","0","0","0",""
"2020-11-27","110","0","0","0",""
"2020-11-28","39","0","0","0",""
"2020-11-29","63","0","0","0",""
"2020-11-30","17","0","0","0",""
"2020-12-01","20","0","0","0",""
"2020-12-02","79","0","0","0",""
"2020-12-03","99","0","0","0",""
"2020-12-04","102","0","0","0",""
"2020-12-05","72","0","0","0",""
"2020-12-06","60","0","0","0",""
"2020-12-07","82","0","0","0",""
"2020-12-08","108","0","0","0",""
"2020-12-09","85","0","0","0",""
"2020-12-10","66","0","0","0",""
"2020-12-11","116","0","0","0",""
"2020-12-12","55","0","0","0",""
"2020-12-13","53","0","0","0",""
"2020-12-14","93","0","0","0",""
"2020-12-15","99","0","0","0",""
"2020-12-16","92","0","0","0",""
"2020-12-17","97","0","0","0",""
"2020-12-18","90","0","0","0",""
"2020-12-19","60","0","0","0",""
"2020-12-20","54","0","0","0",""
"2020-12-21","84","0","0","0",""
"2020-12-22","84","0","0","0",""
"2020-12-23","83","0","0","0",""
"2020-12-24","105","0","0","0",""
"2020-12-25","80","0","0","0",""
"2020-12-26","62","0","0","0",""
"2020-12-27","68","0","0","0",""
"2020-12-28","71","0","0","0",""
"2020-12-29","97","0","0","0",""
"2020-12-30","58","0","0","0",""
"2020-12-31","65","0","0","0",""
"2021-01-01","89","0","0","0",""
"2021-01-02","58","0","0","0",""
"2021-01-03","64","0","0","0",""
"2021-01-04","103","0","0","0",""
"2021-01-05","62","0","0","0",""
"2021-01-06","6","0","0","0",""
"2021-01-07","2","0","0","0",""
"2021-01-08","3","0","0","0",""
"2021-01-09","0","0","0","0",""
"2021-01-10","3","0","0","0",""
"2021-01-11","4","0","0","0",""
"2021-01-12","2","0","0","0",""
"2021-01-13","0","0","0","0",""
"2021-01-14","1","0","0","0",""
"2021-01-15","13","0","0","0",""
"2021-01-16","65","0","0","0",""
"2021-01-17","70","0","0","0",""
"2021-01-18","112","0","0","0",""
"2021-01-19","112","0","0","0",""
"2021-01-20","108","0","0","0",""
"2021-01-21","112","0","0","0",""
"2021-01-22","118","0","0","0",""
"2021-01-23","64","0","0","0",""
"2021-01-24","77","0","0","0",""
"2021-01-25","123","0","0","0",""
"2021-01-26","124","0","0","0",""
"2021-01-27","102","0","0","0",""
"2021-01-28","99","0","0","0",""
"2021-01-29","128","0","0","0",""
"2021-01-30","85","0","0","0",""
"2021-01-31","83","0","0","0",""
"2021-02-01","59","0","0","0",""
"2021-02-02","126","0","0","0",""
"2021-02-03","72","0","0","0",""
"2021-02-04","92","0","0","0",""
"2021-02-05","101","0","0","0",""
"2021-02-06","64","0","0","0",""
"2021-02-07","63","0","0","0",""
"2021-02-08","86","0","0","0",""
"2021-02-09","79","0","0","0",""
"2021-02-10","112","0","0","0",""
"2021-02-11","89","0","0","0",""
"2021-02-12","108","0","0","0",""
"2021-02-13","59","0","0","0",""
"2021-02-14","78","0","0","0",""
"2021-02-15","64","0","0","0",""
"2021-02-16","105","0","0","0",""
"2021-02-17","87","0","0","0",""
"2021-02-18","110","0","0","0",""
"2021-02-19","83","0","0","0",""
"2021-02-20","55","0","0","0",""
"2021-02-21","63","0","0","0",""
"2021-02-22","58","0","0","0",""
"2021-02-23","86","0","0","0",""
"2021-02-24","100","0","0","0",""
"2021-02-25","77","0","0","0",""
"2021-02-26","86","0","0","0",""
"2021-02-27","52","0","0","0",""
"2021-02-28","50","0","0","0",""
"2021-03-01","70","0","0","0",""
"2021-03-02","69","0","0","0",""
"2021-03-03","66","0","0","0",""
"2021-03-04","80","0","0","0",""
"2021-03-05","76","0","0","0",""
"2021-03-06","50","0","0","0",""
"2021-03-07","58","0","0","0",""
"2021-03-08","84","0","0","0",""
"2021-03-09","89","0","0","0",""
"2021-03-10","81","0","0","0",""
"2021-03-11","88","0","0","0",""
"2021-03-12","88","0","0","0",""
"2021-03-13","36","0","0","0",""
"2021-03-14","45","0","0","0",""
"2021-03-15","80","0","0","0",""
"2021-03-16","101","0","0","0",""
"2021-03-17","68","0","0","0",""
"2021-03-18","78","0","0","0",""
"2021-03-19","79","0","0","0",""
"2021-03-20","38","0","0","0",""
"2021-03-21","37","0","0","0",""
"2021-03-22","81","0","0","0",""
"2021-03-23","68","0","0","0",""
"2021-03-24","85","0","0","0",""
"2021-03-25","70","0","0","0",""
"2021-03-26","79","0","0","0",""
"2021-03-27","36","0","0","0",""
"2021-03-28","43","0","0","0",""
"2021-03-29","68","0","0","0",""
"2021-03-30","81","0","0","0",""
"2021-03-31","53","0","0","0",""
"2021-04-01","59","0","0","0",""
"2021-04-02","66","0","0","0",""
"2021-04-03","50","0","0","0",""
"2021-04-04","40","0","0","0",""
"2021-04-05","71","0","0","0",""
"2021-04-06","71","0","0","0",""
"2021-04-07","88","0","0","0",""
"2021-04-08","83","0","0","0",""
"2021-04-09","60","0","0","0",""
"2021-04-10","40","0","0","0",""
"2021-04-11","33","0","0","0",""
"2021-04-12","84","0","0","0",""
"2021-04-13","99","0","0","0",""
"2021-04-14","88","0","0","0",""
"2021-04-15","66","0","0","0",""
"2021-04-16","84","0","0","0",""
"2021-04-17","39","0","0","0",""
"2021-04-18","48","0","0","0",""
"2021-04-19","63","0","0","0",""
"2021-04-20","87","0","0","0",""
"2021-04-21","58","0","0","0",""
"2021-04-22","68","0","0","0",""
"2021-04-23","70","0","0","0",""
"2021-04-24","50","0","0","0",""
"2021-04-25","46","0","0","0",""
"2021-04-26","72","0","0","0",""
"2021-04-27","81","0","0","0",""
"2021-04-28","67","0","0","0",""
"2021-04-29","92","0","0","0",""
"2021-04-30","54","0","0","0",""
"2021-05-01","37","0","0","0",""
"2021-05-02","49","0","0","0",""
"2021-05-03","71","0","0","0",""
"2021-05-04","56","0","0","0",""
"2021-05-05","88","0","0","0",""
"2021-05-06","74","0","0","0",""
"2021-05-07","100","0","0","0",""
"2021-05-08","58","0","0","0",""
"2021-05-09","19","0","0","0",""
"2021-05-10","53","0","0","0",""
"2021-05-11","89","0","0","0",""
"2021-05-12","63","0","0","0",""
"2021-05-13","78","0","0","0",""
"2021-05-14","82","0","0","0",""
"2021-05-15","37","0","0","0",""
"2021-05-16","33","0","0","0",""
"2021-05-17","63","0","0","0",""
"2021-05-18","88","0","0","0",""
"2021-05-19","76","0","0","0",""
"2021-05-20","79","0","0","0",""
"2021-05-21","43","0","0","0",""
"2021-05-22","42","0","0","0",""
"2021-05-23","26","0","0","0",""
"2021-05-24","60","0","0","0",""
"2021-05-25","67","0","0","0",""
"2021-05-26","76","0","0","0",""
"2021-05-27","62","0","0","0",""
"2021-05-28","76","0","0","0",""
"2021-05-29","50","0","0","0",""
"2021-05-30","48","0","0","0",""
"2021-05-31","54","0","0","0",""
"2021-06-01","81","0","0","0",""
"2021-06-02","57","0","0","0",""
"2021-06-03","61","0","0","0",""
"2021-06-04","55","0","0","0",""
"2021-06-05","47","0","0","0",""
"2021-06-06","42","0","0","0",""
"2021-06-07","49","0","0","0",""
"2021-06-08","54","0","0","0",""
"2021-06-09","72","0","0","0",""
"2021-06-10","71","0","0","0",""
"2021-06-11","72","0","0","0",""
"2021-06-12","46","0","0","0",""
"2021-06-13","45","0","0","0",""
"2021-06-14","56","0","0","0",""
"2021-06-15","79","0","0","0",""
"2021-06-16","54","0","0","0",""
"2021-06-17","65","0","0","0",""
"2021-06-18","72","0","0","0",""
"2021-06-19","31","0","0","0",""
"2021-06-20","43","0","0","0",""
"2021-06-21","69","0","0","0",""
"2021-06-22","70","0","0","0",""
"2021-06-23","65","0","0","0",""
"2021-06-24","52","0","0","0",""
"2021-06-25","64","0","0","0",""
"2021-06-26","41","0","0","0",""
"2021-06-27","44","0","0","0",""
"2021-06-28","65","0","0","0",""
"2021-06-29","74","0","0","0",""
"2021-06-30","55","0","0","0",""
"2021-07-01","56","0","0","0",""
"2021-07-02","59","0","0","0",""
"2021-07-03","34","0","0","0",""
"2021-07-04","35","0","0","0",""
"2021-07-05","77","0","0","0",""
"2021-07-06","66","0","0","0",""
"2021-07-07","77","0","0","0",""
"2021-07-08","70","0","0","0",""
"2021-07-09","69","0","0","0",""
"2021-07-10","36","0","0","0",""
"2021-07-11","51","0","0","0",""
"2021-07-12","87","0","0","0",""
"2021-07-13","94","0","0","0",""
"2021-07-14","73","0","0","0",""
"2021-07-15","94","0","0","0",""
"2021-07-16","55","0","0","0",""
"2021-07-17","53","0","0","0",""
"2021-07-18","33","0","0","0",""
"2021-07-19","69","0","0","0",""
"2021-07-20","84","0","0","0",""
"2021-07-21","67","0","0","0",""
"2021-07-22","70","0","0","0",""
"2021-07-23","63","0","0","0",""
"2021-07-24","29","0","0","0",""
"2021-07-25","38","0","0","0",""
"2021-07-26","62","0","0","0",""
"2021-07-27","78","0","0","0",""
"2021-07-28","71","0","0","0",""
"2021-07-29","66","0","0","0",""
"2021-07-30","63","0","0","0",""
"2021-07-31","40","0","0","0",""
"2021-08-01","43","0","0","0",""
"2021-08-02","76","0","0","0",""
"2021-08-03","64","0","0","0",""
"2021-08-04","95","0","0","0",""
"2021-08-05","55","0","0","0",""
"2021-08-06","81","0","0","0",""
"2021-08-07","28","0","0","0",""
"2021-08-08","39","0","0","0",""
"2021-08-09","57","0","0","0",""
"2021-08-10","60","0","0","0",""
"2021-08-11","69","0","0","0",""
"2021-08-12","69","0","0","0",""
"2021-08-13","49","0","0","0",""
"2021-08-14","31","0","0","0",""
"2021-08-15","38","0","0","0",""
"2021-08-16","61","0","0","0",""
"2021-08-17","71","0","0","0",""
"2021-08-18","50","0","0","0",""
"2021-08-19","69","0","0","0",""
"2021-08-20","44","0","0","0",""
"2021-08-21","27","0","0","0",""
"2021-08-22","33","0","0","0",""
"2021-08-23","70","0","0","0",""
"2021-08-24","71","0","0","0",""
"2021-08-25","54","0","0","0",""
"2021-08-26","70","0","0","0",""
"2021-08-27","36","0","0","0",""
"2021-08-28","37","0","0","0",""
"2021-08-29","36","0","0","0",""
"2021-08-30","68","0","0","0",""
"2021-08-31","63","0","0","0",""
"2021-09-01","64","0","0","0",""
"2021-09-02","68","0","0","0",""
"2021-09-03","70","0","0","0",""
"2021-09-04","33","0","0","0",""
"2021-09-05","43","0","0","0",""
"2021-09-06","62","0","0","0",""
"2021-09-07","63","0","0","0",""
"2021-09-08","68","0","0","0",""
"2021-09-09","81","0","0","0",""
"2021-09-10","57","0","0","0",""
"2021-09-11","34","0","0","0",""
"2021-09-12","29","0","0","0",""
"2021-09-13","61","0","0","0",""
"2021-09-14","57","0","0","0",""
"2021-09-15","92","0","0","0",""
"2021-09-16","70","0","0","0",""
"2021-09-17","93","0","0","0",""
"2021-09-18","30","0","0","0",""
"2021-09-19","36","0","0","0",""
"2021-09-20","60","0","0","0",""
"2021-09-21","77","0","0","0",""
"2021-09-22","74","0","0","0",""
"2021-09-23","88","0","0","0",""
"2021-09-24","43","0","0","0",""
"2021-09-25","0","0","0","0",""
"2021-09-26","0","0","0","0",""
"2021-09-27","36","0","0","0",""
"2021-09-28","68","0","0","0",""
"2021-09-29","73","0","0","0",""
"2021-09-30","67","0","0","0",""
"2021-10-01","24","0","0","0",""
"2021-10-02","2","0","0","0",""
"2021-10-03","0","0","0","0",""
"2021-10-04","53","0","0","0",""
"2021-10-05","78","0","0","0",""
"2021-10-06","50","0","0","0",""
"2021-10-07","72","0","0","0",""
"2021-10-08","72","0","0","0",""
"2021-10-09","44","0","0","0",""
"2021-10-10","41","0","0","0",""
"2021-10-11","60","0","0","0",""
"2021-10-12","85","0","0","0",""
"2021-10-13","74","0","0","0",""
"2021-10-14","85","0","0","0",""
"2021-10-15","51","0","0","0",""
"2021-10-16","31","0","0","0",""
"2021-10-17","32","0","0","0",""
"2021-10-18","69","0","0","0",""
"2021-10-19","82","0","0","0",""
"2021-10-20","87","0","0","0",""
"2021-10-21","80","0","0","0",""
"2021-10-22","66","0","0","0",""
"2021-10-23","34","0","0","0",""
"2021-10-24","44","0","0","0",""
"2021-10-25","56","0","0","0",""
"2021-10-26","87","0","0","0",""
"2021-10-27","91","0","0","0",""
"2021-10-28","54","0","0","0",""
"2021-10-29","63","0","0","0",""
"2021-10-30","27","0","0","0",""
"2021-10-31","29","0","0","0",""
"2021-11-01","80","0","0","0",""
"2021-11-02","88","0","0","0",""
"2021-11-03","90","0","0","0",""
"2021-11-04","78","0","0","0",""
"2021-11-05","72","0","0","0",""
"2021-11-06","7","0","0","0",""
"2021-11-07","0","0","0","0",""
"2021-11-08","0","0","0","0",""
"2021-11-09","3","0","0","0",""
"2021-11-10","0","0","0","0",""
"2021-11-11","0","0","0","0",""
"2021-11-12","0","0","0","0",""
"2021-11-13","0","0","0","0",""
"2021-11-14","0","0","0","0",""
"2021-11-15","1","0","0","0",""
"2021-11-16","70","0","0","0",""
"2021-11-17","88","0","0","0",""
"2021-11-18","124","0","0","0",""
"2021-11-19","128","0","0","0",""
"2021-11-20","62","0","0","0",""
"2021-11-21","71","0","0","0",""
"2021-11-22","136","0","0","0",""
